MASK-S01-0001,ARMBAR,This move is said to be in Lionhearts list twice.,4,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,1,NONE,NONE,0
MASK-S01-0002,HIP TOSS,One of the most basic maneuvers in wrestling,5,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,1,NONE,NONE,0
MASK-S01-0003,BODY SLAM,That back must be in pain,6,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,2,NONE,NONE,0
MASK-S01-0004,BACK BODY DROP,What goes up must come down,5,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,1,NONE,NONE,0
MASK-S01-0005,DRAGON SCREW,The American Dragons go to move,5,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,1,NONE,NONE,0
MASK-S01-0006,SHOULDER TACKLE,The Unstoppable Force meets The Immovable Object,4,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,1,NONE,NONE,0
MASK-S01-0007,HEADSCISSORS,King Mystery would be proud,4,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,1,NONE,NONE,0
MASK-S01-0008,HURACARANA,Now we are getting fancy,6,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,2,NONE,NONE,0
MASK-S01-0009,RUNNING NECKBREAKER,What a running neck breaker,6,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,2,NONE,NONE,0
MASK-S01-0010,CHOP,Wooooo,3,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,0,NONE,NONE,0
MASK-S01-0011,ELBOW STRIKE,Vintage Strong Style,3,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,0,NONE,NONE,0
MASK-S01-0012,EUROPEAN UPPERCUT,The Castagnoli Special,3,LIGHT ATTACK,NEUTRAL,0,0,NONE,3,0,NONE,NONE,0
MASK-S01-0013,TEST OF STRENGTH,Let me tell you something brother,1,S - LIGHT ATTACK,FACE,1,0,NEXT TURN +1 POWER,1,0,PWR,NONE,1
MASK-S01-0014,ROPE BALANCE,Fly High luchador,2,S - LIGHT ATTACK,FACE,1,0,NEXT TURN +1 SPEED,1,0,SPD,NONE,1
MASK-S01-0015,EYE POKE,The dirtiest player in the game,1,S - LIGHT ATTACK,HEEL,-1,0,NEXT TURN OPP -1 SPEED,1,0,SPD,NONE,1
MASK-S01-0016,BACK RAKE,what a despicable human being,2,S - LIGHT ATTACK,HEEL,-1,0,NEXT TURN OPP -1 POWER,1,0,PWR,NONE,1
MASK-S01-0017,DROPKICK,Picture Perfect,11,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,3,NONE,NONE,0
MASK-S01-0018,PELE KICK,Which one? The phenomenal one? Or the demonic one?,11,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,3,NONE,NONE,0
MASK-S01-0019,SUPERKICK,I'm not your sexy boy,11,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,3,NONE,NONE,0
MASK-S01-0020,SUPLEX,Like a flag in a pole,13,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,3,NONE,NONE,0
MASK-S01-0021,NECKBREAKER,Targeting that neck area,13,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,3,NONE,NONE,0
MASK-S01-0022,SLINGBLADE,So easy a caveman can do it,13,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,3,NONE,NONE,0
MASK-S01-0023,SIDE SUPLEX,Not the real thing but effective,14,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,4,NONE,NONE,0
MASK-S01-0024,EDGE-O-MATIC,You think you know me,14,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,4,NONE,NONE,0
MASK-S01-0025,WHISPER IN THE WIND,What an enigmatic move or was it charismatic? ,14,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,4,NONE,NONE,0
MASK-S01-0026,GERMAN SUPLEX,Suplex City Bitch!,16,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,4,NONE,NONE,0
MASK-S01-0027,AIR RAID SIREN,What a weird name|right Champa,16,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,4,NONE,NONE,0
MASK-S01-0028,REVERSE NECKBREAKER,Be the Legend Killer,16,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,4,NONE,NONE,0
MASK-S01-0029,DDT,It is the beginning of the end,16,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,4,NONE,NONE,0
MASK-S01-0030,POWERBOMB,I walk alooooooooooooone!,19,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,5,NONE,NONE,0
MASK-S01-0031,BRAIN BUSTER,Watch out! Watch out! Watch out!,19,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,5,NONE,NONE,0
MASK-S01-0032,PILEDRIVER,Not the forbidden move!,19,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,5,NONE,NONE,0
MASK-S01-0033,SPINE BUSTER,Just like Mr. Anderson. No guns though please,19,HEAVY ATTACK,NEUTRAL,0,0,NONE,3,5,NONE,NONE,0
MASK-S01-0034,AVALANCHE SPANISH FLY,Vintage Luchador 1,15,S - HEAVY ATTACK,FACE,3,3,NEXT TURN +3 SPEED & NEXT POWER +3 FOR 3 TURNS,1,0,SPD,PWR,3
MASK-S01-0035,5 MOVES OF DOOM,Wordlyfe! This is basic thuganomics,20,S - HEAVY ATTACK,FACE,5,5,NEXT TURN +5 TECHNIQUE & POWER FOR 3 TURNS,1,0,TECH,PWR,3
MASK-S01-0036,LOW BLOW,Low Blow! Low Blow! Low Blow!,15,S - HEAVY ATTACK,HEEL,-5,-5,NEXT TURN POWER -5 AND RESILIENCY -5 FOR 3 TURNS,1,0,PWR,RES,3
MASK-S01-0037,POWER OF THE PUNCH,By Gawd you Son of a Bitch!,20,S - HEAVY ATTACK,HEEL,-3,-3,NEXT TURN -3 SPEED & NEXT POWER -3 FOR 3 TURNS,1,0,PWR,SPD,3
MASK-S01-0038,CHAIR,This is not for sitting,23,WEAPON,HEEL,-3,-3,IRCY: NEXT TURN -3 POWER|IRDCY: NEXT TURN OPP - 3 POWER,2,5,PWR,PWR,1
